f1,f2,image,score
MED_003,TONY++_003_001,51,7.864171e-01
MED_003,TONY++_005_001,52,6.601800e-01
MED_003,TONY++_003_006,53,3.838348e-01
MED_003,TONY++_005_001,54,9.772294e-02
MED_003,TONY++_005_001,55,3.846162e-02
MED_005,TONY++_003_001,51,7.129232e-01
MED_005,TONY++_005_001,52,7.370230e-01
MED_005,TONY++_005_001,53,4.395506e-01
MED_005,TONY++_005_001,54,1.295992e-01
MED_005,TONY++_005_001,55,3.774002e-02
MED_007,TONY++_001_001,51,6.284811e-01
MED_007,TONY++_003_001,52,7.285044e-01
MED_007,TONY++_001_001,53,4.811939e-01
MED_007,TONY++_005_001,54,1.382509e-01
MED_007,TONY++_001_001,55,3.875801e-02
MED_009,TONY++_001_001,51,5.344431e-01
MED_009,TONY++_005_001,52,6.795605e-01
MED_009,TONY++_005_001,53,4.978813e-01
MED_009,TONY++_003_001,54,1.550854e-01
MED_009,TONY++_001_001,55,4.554337e-02
MED_011,TONY++_001_001,51,4.165204e-01
MED_011,TONY++_003_001,52,5.633996e-01
MED_011,TONY++_005_001,53,4.872562e-01
MED_011,TONY++_003_001,54,1.556028e-01
MED_011,TONY++_001_001,55,4.705247e-02
MED_013,TONY++_001_001,51,2.919244e-01
MED_013,TONY++_001_001,52,4.690277e-01
MED_013,TONY++_003_001,53,4.243388e-01
MED_013,TONY++_001_001,54,1.901132e-01
MED_013,TONY++_005_001,55,4.750304e-02
MED_015,TONY++_001_001,51,2.504444e-01
MED_015,TONY++_001_001,52,3.410129e-01
MED_015,TONY++_001_001,53,3.596772e-01
MED_015,TONY++_005_001,54,2.001930e-01
MED_015,TONY++_001_001,55,5.067565e-02
MED_017,TONY++_003_001,51,1.479357e-01
MED_017,TONY++_001_001,52,2.643316e-01
MED_017,TONY++_001_001,53,2.852871e-01
MED_017,TONY++_003_001,54,2.285390e-01
MED_017,TONY++_005_001,55,5.138987e-02
MED_019,TONY++_001_001,51,1.433181e-01
MED_019,TONY++_001_001,52,1.782216e-01
MED_019,TONY++_001_001,53,2.148512e-01
MED_019,TONY++_003_001,54,1.778814e-01
MED_019,TONY++_003_001,55,5.221381e-02
MED_021,TONY++_001_001,51,9.434422e-02
MED_021,TONY++_005_001,52,1.224091e-01
MED_021,TONY++_001_001,53,1.543713e-01
MED_021,TONY++_005_001,54,1.630445e-01
MED_021,TONY++_005_001,55,4.921185e-02
MED_023,TONY++_001_001,51,9.073170e-02
MED_023,TONY++_003_001,52,9.490791e-02
MED_023,TONY++_001_001,53,1.120687e-01
MED_023,TONY++_001_001,54,1.399265e-01
MED_023,TONY++_003_001,55,4.881207e-02
MED_025,TONY++_001_001,51,6.705000e-02
MED_025,TONY++_005_001,52,8.077409e-02
MED_025,TONY++_003_001,53,9.778331e-02
MED_025,TONY++_003_001,54,1.310588e-01
MED_025,TONY++_005_001,55,5.111551e-02
